Country,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Dependent Variable (Bankruptcy)
Japan,4500,133000,17000,15000,4300,118700,101100,14600,68500,13500,15,0
Japan,2200,118900,9700,5000,4500,75600,88200,32800,60900,6400,15,0
Japan,6800,219400,44100,85700,11100,116200,174000,9400,81100,11200,20,0
Japan,3000,223200,35800,41800,6000,104000,206000,1600,64800,5800,20,0
Japan,3500,196500,32800,43700,6000,88700,150400,200,66800,6400,20,0
Japan,3400,161100,22500,42500,5500,85400,127300,11600,59500,6100,20,0
Japan,700,104100,2700,2900,2200,117900,91000,23900,67600,3100,20,0
Japan,4400,149000,26500,10900,7400,205800,133600,36800,80400,17500,20,0
Japan,1300,111600,6800,6000,2300,91800,76700,24600,65600,5900,20,0
Japan,3000,147800,23300,10700,5000,84500,109900,27200,72000,8200,20,0
Japan,5900,132600,14600,-5800,6200,82400,59900,39100,59300,29200,20,0
Japan,5500,157100,22400,38400,10100,120200,103700,8500,61600,9400,20,0
Japan,5200,93200,-1500,16400,8000,57700,88900,62700,20500,20900,20,0
Japan,5000,125100,13300,12200,5300,72500,105300,12900,66300,13600,25,0
Japan,2200,144800,15200,21900,6000,110800,69200,22600,49100,4400,25,0
Japan,2900,177600,20500,22500,4100,95800,115600,20200,46800,5400,25,0
Japan,6900,170400,18700,47900,17900,136400,128200,13800,45200,10900,25,0
Japan,4100,160200,32300,34200,7100,308800,122600,1200,85900,9400,25,0
Japan,5400,172900,23400,57100,7000,201800,127100,7800,55500,8700,25,0
Japan,1500,156600,22000,32800,2900,84100,127900,43100,60900,3600,25,0
Japan,9000,303200,45200,26100,16200,181200,109400,41800,67400,19600,25,0
Japan,2100,280800,38500,36100,3900,65300,243200,39100,59700,4400,25,0
Japan,1700,84500,-3500,11200,3300,50100,55300,36900,18900,5600,25,0
Japan,7200,108600,3400,31200,6100,94800,42000,19000,43000,13100,25,0
Japan,3700,80400,-6300,30300,7100,232300,47600,16400,25700,7700,30,0
Japan,300,59100,-18400,29800,3300,107900,28000,59500,26600,1200,30,0
Japan,800,166700,15300,28400,1400,45800,143300,12000,38200,1000,45,0
Japan,900,198500,27000,16900,1300,89100,135100,13900,54400,1600,45,0
