Country,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Dependent Variable (Bankruptcy)
Japan,4500.0,133000.0,17000.0,15000.0,4300.0,118700.0,101100.0,14600.0,68500.0,13500.0,15,0
Japan,2200.0,118900.0,9700.0,5000.0,4500.0,75600.0,88200.0,32800.0,60900.0,6400.0,15,0
Japan,6800.0,219400.0,44100.0,85700.0,11100.0,116200.0,174000.0,9400.0,81100.0,11200.0,20,0
Japan,3000.0,223200.0,35800.0,41800.0,6000.0,104000.0,206000.0,1600.0,64800.0,5800.0,20,0
Japan,3500.0,196500.0,32800.0,43700.0,6000.0,88700.0,150400.0,200.0,66800.0,6400.0,20,0
Japan,3400.0,161100.0,22500.0,42500.0,5500.0,85400.0,127300.0,11600.0,59500.0,6100.0,20,0
Japan,700.0,104100.0,2700.0,2900.0,2200.0,117900.0,91000.0,23900.0,67600.0,3100.0,20,0
Japan,4400.0,149000.0,26500.0,10900.0,7400.0,205800.0,133600.0,36800.0,80400.0,17500.0,20,0
Japan,1300.0,111600.0,6800.0,6000.0,2300.0,91800.0,76700.0,24600.0,65600.0,5900.0,20,0
Japan,3000.0,147800.0,23300.0,10700.0,5000.0,84500.0,109900.0,27200.0,72000.0,8200.0,20,0
Japan,5900.0,132600.0,14600.0,-5800.0,6200.0,82400.0,59900.0,39100.0,59300.0,29200.0,20,0
Japan,5500.0,157100.0,22400.0,38400.0,10100.0,120200.0,103700.0,8500.0,61600.0,9400.0,20,0
Japan,5200.0,93200.0,-1500.0,16400.0,8000.0,57700.0,88900.0,62700.0,20500.0,20900.0,20,0
Japan,5000.0,125100.0,13300.0,12200.0,5300.0,72500.0,105300.0,12900.0,66300.0,13600.0,25,0
Japan,2200.0,144800.0,15200.0,21900.0,6000.0,110800.0,69200.0,22600.0,49100.0,4400.0,25,0
Japan,2900.0,177600.0,20500.0,22500.0,4100.0,95800.0,115600.0,20200.0,46800.0,5400.0,25,0
Japan,6900.0,170400.0,18700.0,47900.0,17900.0,136400.0,128200.0,13800.0,45200.0,10900.0,25,0
Japan,4100.0,160200.0,32300.0,34200.0,7100.0,308800.0,122600.0,1200.0,85900.0,9400.0,25,0
Japan,5400.0,172900.0,23400.0,57100.0,7000.0,201800.0,127100.0,7800.0,55500.0,8700.0,25,0
Japan,1500.0,156600.0,22000.0,32800.0,2900.0,84100.0,127900.0,43100.0,60900.0,3600.0,25,0
Japan,9000.0,303200.0,45200.0,26100.0,16200.0,181200.0,109400.0,41800.0,67400.0,19600.0,25,0
Japan,2100.0,280800.0,38500.0,36100.0,3900.0,65300.0,243200.0,39100.0,59700.0,4400.0,25,0
Japan,1700.0,84500.0,-3500.0,11200.0,3300.0,50100.0,55300.0,36900.0,18900.0,5600.0,25,0
Japan,7200.0,108600.0,3400.0,31200.0,6100.0,94800.0,42000.0,19000.0,43000.0,13100.0,25,0
Japan,3700.0,80400.0,-6300.0,30300.0,7100.0,232300.0,47600.0,16400.0,25700.0,7700.0,30,0
Japan,300.0,59100.0,-18400.0,29800.0,3300.0,107900.0,28000.0,59500.0,26600.0,1200.0,30,0
Japan,800.0,166700.0,15300.0,28400.0,1400.0,45800.0,143300.0,12000.0,38200.0,1000.0,45,0
Japan,900.0,198500.0,27000.0,16900.0,1300.0,89100.0,135100.0,13900.0,54400.0,1600.0,45,0
